Type,N,B,Variant,Threads,Time
TASK_B,100000,32,local,16,0.000673824
TASK_B,100000,32,critical,16,0.0107007
TASK_B,100000,32,atomic,16,0.002053
TASK_B,100000,32,local,16,0.000748148
TASK_B,100000,256,critical,1,0.00145404
TASK_B,100000,256,atomic,1,0.000497907
TASK_B,100000,256,local,1,6.198e-05
TASK_B,100000,256,critical,1,0.00152898
TASK_B,100000,256,atomic,1,0.00064379
TASK_B,100000,256,local,1,3.4974e-05
TASK_B,100000,256,critical,1,0.00149951
TASK_B,100000,256,atomic,1,0.000617684
TASK_B,100000,256,local,1,6.2447e-05
TASK_B,100000,256,critical,1,0.0013635
TASK_B,100000,256,atomic,1,0.000476734
TASK_B,100000,256,local,1,6.016e-05
TASK_B,100000,256,critical,1,0.00149229
TASK_B,100000,256,atomic,1,0.000604338
TASK_B,100000,256,local,1,0.000141146
TASK_B,100000,256,critical,2,0.00368355
TASK_B,100000,256,atomic,2,0.00107725
TASK_B,100000,256,local,2,0.000202261
TASK_B,100000,256,critical,2,0.00352084
TASK_B,100000,256,atomic,2,0.00120204
TASK_B,100000,256,local,2,0.000133862
TASK_B,100000,256,critical,2,0.0035955
TASK_B,100000,256,atomic,2,0.00153962
TASK_B,100000,256,local,2,0.000185037
TASK_B,100000,256,critical,2,0.00367299
TASK_B,100000,256,atomic,2,0.00113618
TASK_B,100000,256,local,2,0.000176952
TASK_B,100000,256,critical,2,0.00537084
TASK_B,100000,256,atomic,2,0.00131199
TASK_B,100000,256,local,2,0.000222268
TASK_B,100000,256,critical,4,0.00703925
TASK_B,100000,256,atomic,4,0.00126369
TASK_B,100000,256,local,4,0.000136837
TASK_B,100000,256,critical,4,0.00784496
TASK_B,100000,256,atomic,4,0.00124232
TASK_B,100000,256,local,4,0.00019071
TASK_B,100000,256,critical,4,0.00667904
TASK_B,100000,256,atomic,4,0.000959339
TASK_B,100000,256,local,4,0.000182087
TASK_B,100000,256,critical,4,0.00722641
TASK_B,100000,256,atomic,4,0.00119663
TASK_B,100000,256,local,4,0.000294565
TASK_B,100000,256,critical,4,0.0068592
TASK_B,100000,256,atomic,4,0.0011083
TASK_B,100000,256,local,4,0.000206015
TASK_B,100000,256,critical,8,0.0116477
TASK_B,100000,256,atomic,8,0.00100652
TASK_B,100000,256,local,8,0.000326841
TASK_B,100000,256,critical,8,0.0114887
TASK_B,100000,256,atomic,8,0.00100943
TASK_B,100000,256,local,8,0.00039493
TASK_B,100000,256,critical,8,0.0122372
TASK_B,100000,256,atomic,8,0.00093934
TASK_B,100000,256,local,8,0.000369362
TASK_B,100000,256,critical,8,0.0118812
TASK_B,100000,256,atomic,8,0.000938769
TASK_B,100000,256,local,8,0.0003599
TASK_B,100000,256,critical,8,0.0118422
TASK_B,100000,256,atomic,8,0.000924069
TASK_B,100000,256,local,8,0.000336324
TASK_B,100000,256,critical,16,0.0118913
TASK_B,100000,256,atomic,16,0.00107976
TASK_B,100000,256,local,16,0.000739309
TASK_B,100000,256,critical,16,0.0131128
TASK_B,100000,256,atomic,16,0.00119124
TASK_B,100000,256,local,16,0.000515104
TASK_B,100000,256,critical,16,0.0131358
TASK_B,100000,256,atomic,16,0.00120855
TASK_B,100000,256,local,16,0.000729882
TASK_B,100000,256,critical,16,0.0132897
TASK_B,100000,256,atomic,16,0.00118575
TASK_B,100000,256,local,16,0.000691692
TASK_B,100000,256,critical,16,0.0133704
TASK_B,100000,256,atomic,16,0.00117492
TASK_B,100000,256,local,16,0.000669588
TASK_B,100000,4096,critical,1,0.00147067
TASK_B,100000,4096,atomic,1,0.000633178
TASK_B,100000,4096,local,1,6.7863e-05
TASK_B,100000,4096,critical,1,0.00132196
TASK_B,100000,4096,atomic,1,0.000582599
TASK_B,100000,4096,local,1,6.4167e-05
TASK_B,100000,4096,critical,1,0.00134112
TASK_B,100000,4096,atomic,1,0.000583722
TASK_B,100000,4096,local,1,6.0117e-05
TASK_B,100000,4096,critical,1,0.00128619
TASK_B,100000,4096,atomic,1,0.000430853
TASK_B,100000,4096,local,1,5.9936e-05
TASK_B,100000,4096,critical,1,0.00129155
TASK_B,100000,4096,atomic,1,0.000585536
TASK_B,100000,4096,local,1,6.0881e-05
TASK_B,100000,4096,critical,2,0.00317043
TASK_B,100000,4096,atomic,2,0.000562645
TASK_B,100000,4096,local,2,0.000288726
TASK_B,100000,4096,critical,2,0.00294214
TASK_B,100000,4096,atomic,2,0.000600918
TASK_B,100000,4096,local,2,0.000199618
TASK_B,100000,4096,critical,2,0.00516126
TASK_B,100000,4096,atomic,2,0.000577481
TASK_B,100000,4096,local,2,0.00013938
TASK_B,100000,4096,critical,2,0.00329877
TASK_B,100000,4096,atomic,2,0.000637678
TASK_B,100000,4096,local,2,0.000110492
TASK_B,100000,4096,critical,2,0.00593314
TASK_B,100000,4096,atomic,2,0.000551385
TASK_B,100000,4096,local,2,0.000246054
TASK_B,100000,4096,critical,4,0.00676673
TASK_B,100000,4096,atomic,4,0.000507143
TASK_B,100000,4096,local,4,0.000179865
TASK_B,100000,4096,critical,4,0.00666233
TASK_B,100000,4096,atomic,4,0.000484488
TASK_B,100000,4096,local,4,0.000287053
TASK_B,100000,4096,critical,4,0.00736785
TASK_B,100000,4096,atomic,4,0.000481495
TASK_B,100000,4096,local,4,0.000203767
TASK_B,100000,4096,critical,4,0.00683557
TASK_B,100000,4096,atomic,4,0.000477261
TASK_B,100000,4096,local,4,0.000196311
TASK_B,100000,4096,critical,4,0.0069286
TASK_B,100000,4096,atomic,4,0.000541162
TASK_B,100000,4096,local,4,0.000196971
TASK_B,100000,4096,critical,8,0.0117174
TASK_B,100000,4096,atomic,8,0.000651904
TASK_B,100000,4096,local,8,0.000356806
TASK_B,100000,4096,critical,8,0.0111929
TASK_B,100000,4096,atomic,8,0.000524045
